class,data
A,105.40845765324627
A,108.7226180801472
A,84.39863438702437
A,100.5108164651926
A,100.9659490855939
A,105.45667967331876
A,107.69768962742928
A,94.80175764043136
A,96.11898367745988
A,114.37908703756727
A,102.08921077220666
A,99.9060318617435
A,97.26374976474324
A,95.199368416762
A,93.47276882823624
A,105.16086973616989
A,96.53547984851112
A,94.07103035450692
A,101.02290442899306
A,105.55763456589116
A,99.06024132636504
A,103.96816748094037
A,106.49869688112092
A,103.2523382279706
A,105.11671249419696
A,106.52316713925852
A,104.71713339951718
A,109.31571774790716
A,92.6695502964066
A,105.45823653024792
A,103.1073904164862
A,92.65757593878509
A,105.1761917188858
A,93.4912040524238
A,105.06049533158854
A,107.87698760111716
A,100.25074799830116
A,104.2831908630478
A,100.56659660834792
A,106.83025334745568
A,101.29201208519233
A,98.65049162468284
A,99.8190410710716
A,98.00045204726398
A,104.90282784643944
A,99.3168394204284
A,102.87109630178132
A,104.48910435941984
A,100.87476147914911
A,110.6810094657949
A,95.34973308424324
A,102.6286917507323
A,93.0200703112118
A,102.90065989309235
A,100.68418243048023
A,102.63817880459206
A,103.05255070893396
A,88.85765680771539
A,88.44388781664736
A,108.40858900766014
A,102.10743771221888
A,99.81378751315704
A,92.356397064078
A,96.25691985234394
A,107.11106095771083
A,97.76660761214656
A,101.64484162888697
A,94.28389058744064
A,98.50905145085672
A,102.39675142282395
A,105.11469691715796
A,106.07191021243725
A,100.40647521691524
A,103.26009429882278
A,96.04242406300123
A,100.0681972618095
A,101.92598644254862
A,102.39397890650164
A,109.03683527835295
A,99.6124913683198
A,90.9252262393616
A,95.71448696037876
A,95.45999967172432
A,92.41334625006746
A,103.85880650640986
A,100.38954223826612
A,98.09129560135383
A,91.08926411034828
A,96.7751221470263
A,100.72736070921285
A,94.18405639753834
A,98.00817885609534
A,100.99560560042396
A,104.1381486392689
A,101.57976782401585
A,104.15802213851984
A,100.09099879499576
A,91.63605841647068
A,101.8535335825346
A,102.07923895189084
B,98.32947393492638
B,96.9317039434537
B,95.77732509473464
B,98.74476795392104
B,102.97104239456038
B,92.3412632785651
B,97.4044838433918
B,106.37782815172524
B,99.84291558862463
B,94.35756056503796
B,97.09033996020088
B,98.7927096904482
B,96.1373005909436
B,100.73081757816918
B,96.03498863325532
B,108.83575021755884
B,100.05109880316516
B,100.41210654077356
B,105.59965729231938
B,96.66151963897498
B,104.01588447671008
B,107.53935269029118
B,103.30921940901185
B,108.52501003609147
B,93.0789149480846
B,99.56143618868715
B,107.19449682302286
B,99.81481322735574
B,93.09108393681832
B,95.49310017421536
B,92.59753904318757
B,96.18010832578248
B,92.96346278343032
B,96.90473024119846
B,103.43812178618758
B,95.1683046856981
B,95.95586352353531
B,94.96610595214727
B,100.1645722793364
B,98.48320373165352
B,97.90128174286671
B,98.4025895527491
B,95.96262443577952
B,96.94815954401126
B,100.3523444863008
B,102.48692361805126
B,97.08696609375166
B,95.40100047315008
B,94.48637099633264
B,95.48751300522854
B,89.07838448657381
B,93.90907093206108
B,95.98363453341724
B,91.33404259428936
B,100.0368081069291
B,101.25313866225784
B,104.2480714998324
B,95.50403340739882
B,96.94096895429176
B,103.19099836753176
B,95.79993245987384
B,102.82376580564768
B,98.42732021571948
B,101.02756319293977
B,102.68456925533762
B,104.09050646610572
B,93.73245590069816
B,93.2187299173139
B,88.69674483613959
B,94.05534081661148
B,101.55539790217244
B,90.27672728693469
B,100.50578365868152
B,104.58927232044256
B,105.162830789278
B,99.1194998854401
B,96.6284636332692
B,103.27747244167722
B,95.44367773437136
B,97.76232344380134
B,98.0416031424119
B,97.28152129757262
B,103.41288350340028
B,95.4586917904698
B,102.25208198911702
B,96.80205434327428
B,104.99218862916848
B,101.65735777124492
B,98.9827775708876
B,102.0323009092145
B,93.23308754191542
B,99.9441836999576
B,103.76592318232056
B,96.08482729570738
B,99.55938082583918
B,99.2158506578455
B,88.84234857356304
B,99.45693946189886
B,99.9192734412888
B,102.29280481690544
