UserID,StartTime,EndTime,Page
1,2023-07-02 08:32:00,2023-07-02 12:41:00,Page1
1,2023-05-16 11:37:00,2023-05-16 13:29:00,Page5
1,2023-05-05 03:39:00,2023-05-05 05:48:00,Page2
1,2023-05-04 23:04:00,2023-05-05 01:54:00,Page3
1,2023-09-04 11:27:00,2023-09-04 14:09:00,Page1
1,2023-09-16 14:55:00,2023-09-16 19:22:00,Page2
1,2023-01-26 17:58:00,2023-01-26 18:06:00,Page3
1,2023-12-27 12:45:00,2023-12-27 12:46:00,Page3
1,2023-06-08 23:20:00,2023-06-08 23:53:00,Page5
1,2023-10-08 07:51:00,2023-10-08 09:04:00,Page2
1,2023-02-03 10:56:00,2023-02-03 15:17:00,Page5
1,2023-02-10 17:18:00,2023-02-10 18:22:00,Page3
1,2023-09-07 19:35:00,2023-09-07 22:03:00,Page2
1,2023-02-20 12:20:00,2023-02-20 17:15:00,Page5
2,2023-03-07 05:02:00,2023-03-07 07:16:00,Page5
2,2023-02-03 21:48:00,2023-02-03 22:55:00,Page4
2,2023-01-27 02:57:00,2023-01-27 07:34:00,Page1
2,2023-12-17 08:33:00,2023-12-17 10:34:00,Page3
3,2023-11-19 13:37:00,2023-11-19 15:58:00,Page3
3,2023-08-22 20:44:00,2023-08-22 23:47:00,Page5
3,2023-06-20 03:31:00,2023-06-20 06:23:00,Page3
3,2023-04-01 23:17:00,2023-04-02 00:17:00,Page3
3,2023-06-26 05:21:00,2023-06-26 09:00:00,Page2
3,2023-02-26 04:54:00,2023-02-26 06:47:00,Page4
3,2023-10-21 17:38:00,2023-10-21 18:16:00,Page2
3,2023-02-21 06:38:00,2023-02-21 11:33:00,Page2
3,2023-07-03 11:53:00,2023-07-03 12:53:00,Page3
3,2023-10-01 06:11:00,2023-10-01 07:15:00,Page3
3,2023-04-24 01:59:00,2023-04-24 02:11:00,Page3
3,2023-10-04 08:04:00,2023-10-04 09:58:00,Page2
3,2023-11-10 11:27:00,2023-11-10 13:00:00,Page2
3,2023-09-15 01:38:00,2023-09-15 02:30:00,Page4
4,2023-04-09 11:57:00,2023-04-09 15:58:00,Page5
4,2023-12-22 06:49:00,2023-12-22 07:19:00,Page2
4,2023-03-11 16:16:00,2023-03-11 17:17:00,Page3
4,2023-11-06 00:30:00,2023-11-06 04:00:00,Page2
4,2023-11-12 12:53:00,2023-11-12 15:02:00,Page1
4,2023-09-23 00:29:00,2023-09-23 01:10:00,Page2
4,2023-12-02 17:17:00,2023-12-02 18:27:00,Page2
4,2023-08-12 19:18:00,2023-08-12 22:22:00,Page1
4,2023-12-10 12:47:00,2023-12-10 16:20:00,Page4
4,2023-01-20 06:44:00,2023-01-20 09:36:00,Page2
4,2023-04-08 20:28:00,2023-04-08 23:42:00,Page1
4,2023-01-13 22:36:00,2023-01-14 02:11:00,Page1
5,2023-03-15 02:16:00,2023-03-15 03:37:00,Page1
5,2023-09-16 17:38:00,2023-09-16 17:39:00,Page4
5,2023-08-11 09:53:00,2023-08-11 13:53:00,Page1
5,2023-07-07 17:40:00,2023-07-07 18:23:00,Page5
5,2023-01-13 21:26:00,2023-01-14 00:08:00,Page3
5,2023-04-01 22:48:00,2023-04-01 22:50:00,Page5
5,2023-04-04 19:41:00,2023-04-04 21:23:00,Page2
5,2023-05-23 05:06:00,2023-05-23 09:10:00,Page4
5,2023-11-03 00:17:00,2023-11-03 04:09:00,Page4
5,2023-05-05 20:33:00,2023-05-05 23:31:00,Page4
5,2023-03-09 00:02:00,2023-03-09 00:23:00,Page2
5,2023-11-09 17:20:00,2023-11-09 20:28:00,Page1
5,2023-12-23 19:41:00,2023-12-23 23:55:00,Page2
6,2023-11-14 11:55:00,2023-11-14 16:31:00,Page1
6,2023-04-13 18:18:00,2023-04-13 18:23:00,Page1
6,2023-03-09 10:21:00,2023-03-09 13:30:00,Page5
6,2023-06-25 19:02:00,2023-06-25 19:24:00,Page1
